Date : 2025-08-10 14:04:31
Directory : e:\Workspace\Project-laptop-shop\client
Total : 244 files,  49396 codes, 2517 comments, 3708 blanks, all 55621 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     21,867 |          0 |          4 |     21,871 |
| JavaScript |        148 |     20,873 |      2,322 |      2,063 |     25,258 |
| HTML       |         80 |      4,612 |         24 |      1,250 |      5,886 |
| CSS        |         11 |      2,043 |        171 |        391 |      2,605 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\Workspace\Project-laptop-shop\client\src\components\PermissionTable.js                    | JavaScript |        226 |          1 |         14 |        241 |
| e:\Workspace\Project-laptop-shop\client\src\components\SocialIconsController.js              | JavaScript |          5 |          1 |          7 |         13 |
| e:\Workspace\Project-laptop-shop\client\src\components\StatsTable.js                         | JavaScript |        270 |          5 |         20 |        295 |
| e:\Workspace\Project-laptop-shop\client\src\components\admin\AdminDeviceWarning.js           | JavaScript |         30 |          1 |          5 |         36 |
| e:\Workspace\Project-laptop-shop\client\src\components\admin\DesktopOnlyRoute.js             | JavaScript |         52 |          3 |          6 |         61 |
| e:\Workspace\Project-laptop-shop\client\src\components\admin\MobileAdminRedirect.js          | JavaScript |         70 |          3 |          7 |         80 |
| e:\Workspace\Project-laptop-shop\client\src\components\admin\README.md                       | HTML       |         90 |          0 |         29 |        119 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardBanner.js                    | JavaScript |         19 |          0 |          3 |         22 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardPermission.js                | JavaScript |         58 |          0 |          3 |         61 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardProduct.js                   | JavaScript |         84 |          3 |         13 |        100 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardProductLarge.js              | JavaScript |         55 |          3 |          2 |         60 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardPromoHalfImage.js            | JavaScript |         29 |          0 |          2 |         31 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardReview.js                    | JavaScript |         29 |          0 |          4 |         33 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardService.js                   | JavaScript |         10 |          0 |          1 |         11 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\NewsCard.js                      | JavaScript |         95 |          6 |         16 |        117 |
| e:\Workspace\Project-laptop-shop\client\src\components\cart\CartItemRow.js                   | JavaScript |         66 |          0 |          3 |         69 |
| e:\Workspace\Project-laptop-shop\client\src\components\cart\CartTable.js                     | JavaScript |         46 |          0 |          4 |         50 |
| e:\Workspace\Project-laptop-shop\client\src\components\cart\OrderSummary.js                  | JavaScript |         69 |          0 |          4 |         73 |
| e:\Workspace\Project-laptop-shop\client\src\components\contact\FacebookButton.js             | JavaScript |         42 |          0 |          2 |         44 |
| e:\Workspace\Project-laptop-shop\client\src\components\contact\HotlineButton.js              | JavaScript |         56 |          0 |          5 |         61 |
| e:\Workspace\Project-laptop-shop\client\src\components\contact\ZaloButton.js                 | JavaScript |         58 |          0 |          4 |         62 |
| e:\Workspace\Project-laptop-shop\client\src\components\dashboard\DashboardCard.js            | JavaScript |         58 |          5 |          8 |         71 |
| e:\Workspace\Project-laptop-shop\client\src\components\dashboard\TableDashboard.js           | JavaScript |         34 |          1 |          5 |         40 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\AllReviewsModal.js             | JavaScript |        145 |          0 |          5 |        150 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\BreadcrumbNav.js               | JavaScript |         45 |          0 |          3 |         48 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\DescriptionModal.js            | JavaScript |         38 |          0 |          3 |         41 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductHeader.js               | JavaScript |         25 |          0 |          5 |         30 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductImages.js               | JavaScript |         42 |          0 |          2 |         44 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductPrice.js                | JavaScript |         17 |          0 |          3 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductQuantity.js             | JavaScript |         34 |          0 |          4 |         38 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductReviews.js              | JavaScript |         81 |          0 |          7 |         88 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\RelatedProducts.js             | JavaScript |         37 |          0 |          4 |         41 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ServiceFeatures.js             | JavaScript |         22 |          0 |          3 |         25 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ShareModal.js                  | JavaScript |         59 |          0 |          6 |         65 |
| e:\Workspace\Project-laptop-shop\client\src\components\editor\CKEditorComponent.js           | JavaScript |         41 |          3 |          5 |         49 |
| e:\Workspace\Project-laptop-shop\client\src\components\filters\NewsFilters.js                | JavaScript |         46 |          2 |          6 |         54 |
| e:\Workspace\Project-laptop-shop\client\src\components\filters\ProductFilters.js             | JavaScript |        124 |          5 |         17 |        146 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\ACCOUNTINFO.md                     | HTML       |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\ADDPERMISSIONMODAL.md              | HTML       |         16 |          0 |          5 |         21 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\ALLREVIEWSMODAL.md                 | HTML       |         16 |          0 |          5 |         21 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\ANIMATEDCOUNTER.md                 | HTML       |         17 |          0 |          5 |         22 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\AUTH_SPLASH_SCREEN.md              | HTML       |          0 |          0 |          1 |          1 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\BREADCRUMBNAV.md                   | HTML       |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CARDBANNER.md                      | HTML       |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CARDPERMISSION.md                  | HTML       |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CARDPRODUCT.md                     | HTML       |         17 |          0 |          5 |         22 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CARDREVIEW.md                      | HTML       |         14 |          0 |          5 |         19 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CARDSERVICE.md                     | HTML       |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CARTITEMROW.md                     | HTML       |         16 |          0 |          5 |         21 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CARTTABlE.md                       | HTML       |         16 |          0 |          5 |         21 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CHANGEPASSWORD.md                  | HTML       |         14 |          0 |          5 |         19 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CHARTS.md                          | HTML       |         18 |          0 |          5 |         23 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CKEDITORCOMPONENT.md               | HTML       |         19 |          0 |          5 |         24 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\DASHBOARDCARD.md                   | HTML       |         18 |          0 |          5 |         23 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\DESCRIPTIONMODAL.md                | HTML       |         15 |          0 |          5 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\FACEBOOKBUTTON.md                  | HTML       |         14 |          0 |          5 |         19 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\FOOTER.md                          | HTML       |         17 |          0 |          5 |         22 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\HEADER.md                          | HTML       |         18 |          0 |          5 |         23 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\HELPSUPPORT.md                     | HTML       |         13 |          0 |          5 |         18 |
