"filename", "language", "JavaScript", "HTML", "JSON", "CSS", "XML", "comment", "blank", "total"
"e:\Workspace\Project-laptop-shop\client\src\components\editor\CKEditorComponent.js", "JavaScript", 41, 0, 0, 0, 0, 3, 5, 49
"e:\Workspace\Project-laptop-shop\client\src\components\filters\NewsFilters.js", "JavaScript", 46, 0, 0, 0, 0, 2, 6, 54
"e:\Workspace\Project-laptop-shop\client\src\components\filters\ProductFilters.js", "JavaScript", 124, 0, 0, 0, 0, 5, 17, 146
"e:\Workspace\Project-laptop-shop\client\src\components\md\ACCOUNTINFO.md", "HTML", 0, 13, 0, 0, 0, 0, 5, 18
"e:\Workspace\Project-laptop-shop\client\src\components\md\ADDPERMISSIONMODAL.md", "HTML", 0, 16, 0, 0, 0, 0, 5, 21
"e:\Workspace\Project-laptop-shop\client\src\components\md\ALLREVIEWSMODAL.md", "HTML", 0, 16, 0, 0, 0, 0, 5, 21
"e:\Workspace\Project-laptop-shop\client\src\components\md\ANIMATEDCOUNTER.md", "HTML", 0, 17, 0, 0, 0, 0, 5, 22
"e:\Workspace\Project-laptop-shop\client\src\components\md\AUTH_SPLASH_SCREEN.md", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"e:\Workspace\Project-laptop-shop\client\src\components\md\BREADCRUMBNAV.md", "HTML", 0, 13, 0, 0, 0, 0, 5, 18
"e:\Workspace\Project-laptop-shop\client\src\components\md\CARDBANNER.md", "HTML", 0, 13, 0, 0, 0, 0, 5, 18
"e:\Workspace\Project-laptop-shop\client\src\components\md\CARDPERMISSION.md", "HTML", 0, 13, 0, 0, 0, 0, 5, 18
"e:\Workspace\Project-laptop-shop\client\src\components\md\CARDPRODUCT.md", "HTML", 0, 17, 0, 0, 0, 0, 5, 22
"e:\Workspace\Project-laptop-shop\client\src\components\md\CARDREVIEW.md", "HTML", 0, 14, 0, 0, 0, 0, 5, 19
"e:\Workspace\Project-laptop-shop\client\src\components\md\CARDSERVICE.md", "HTML", 0, 13, 0, 0, 0, 0, 5, 18
"e:\Workspace\Project-laptop-shop\client\src\components\md\CARTITEMROW.md", "HTML", 0, 16, 0, 0, 0, 0, 5, 21
"e:\Workspace\Project-laptop-shop\client\src\components\md\CARTTABlE.md", "HTML", 0, 16, 0, 0, 0, 0, 5, 21
