Date : 2025-08-08 02:20:29
Directory : e:\Workspace\Project-laptop-shop\client
Total : 308 files,  9669 codes, 1096 comments, 1550 blanks, all 12315 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\card\CardService.js             | JavaScript     |        -10 |          0 |         -1 |        -11 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\card\NewsCard.js                | JavaScript     |       -108 |         -5 |        -16 |       -129 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\cart\CartItemRow.js             | JavaScript     |        -47 |          0 |         -3 |        -50 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\cart\CartTable.js               | JavaScript     |        -44 |          0 |         -2 |        -46 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\cart\OrderSummary.js            | JavaScript     |        -69 |          0 |         -4 |        -73 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\contact\FacebookButton.js       | JavaScript     |        -42 |          0 |         -2 |        -44 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\contact\HotlineButton.js        | JavaScript     |        -56 |          0 |         -5 |        -61 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\contact\ZaloButton.js           | JavaScript     |        -58 |          0 |         -4 |        -62 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\dashboard\DashboardCard.js      | JavaScript     |        -58 |         -5 |         -8 |        -71 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\dashboard\TableDashboard.js     | JavaScript     |        -34 |         -1 |         -5 |        -40 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\AllReviewsModal.js       | JavaScript     |       -147 |          0 |         -5 |       -152 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\BreadcrumbNav.js         | JavaScript     |        -45 |          0 |         -3 |        -48 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\DescriptionModal.js      | JavaScript     |        -38 |          0 |         -3 |        -41 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ProductHeader.js         | JavaScript     |        -25 |          0 |         -5 |        -30 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ProductImages.js         | JavaScript     |        -42 |          0 |         -2 |        -44 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ProductPrice.js          | JavaScript     |        -17 |          0 |         -3 |        -20 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ProductQuantity.js       | JavaScript     |        -34 |          0 |         -4 |        -38 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ProductReviews.js        | JavaScript     |        -81 |          0 |         -7 |        -88 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\RelatedProducts.js       | JavaScript     |        -37 |          0 |         -4 |        -41 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ServiceFeatures.js       | JavaScript     |        -22 |          0 |         -3 |        -25 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ShareModal.js            | JavaScript     |        -59 |          0 |         -6 |        -65 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\editor\CKEditorComponent.js     | JavaScript     |        -83 |         -1 |         -5 |        -89 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\filters\NewsFilters.js          | JavaScript     |       -142 |         -1 |         -8 |       -151 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\filters\ProductFilters.js       | JavaScript     |       -260 |         -2 |        -14 |       -276 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\section\SectionBar.js           | JavaScript     |        -11 |          0 |         -3 |        -14 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\section\SectionHeader.js        | JavaScript     |        -20 |          0 |         -5 |        -25 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\section\SectionSideBar.js       | JavaScript     |        -65 |          0 |         -7 |        -72 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\setting\AccountInfo.js          | JavaScript     |       -136 |         -8 |        -20 |       -164 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\setting\HelpSupport.js          | JavaScript     |       -313 |         -4 |        -21 |       -338 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\setting\LanguageRegion.js       | JavaScript     |       -291 |        -13 |        -43 |       -347 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\setting\NotificationSettings.js | JavaScript     |       -395 |        -12 |        -37 |       -444 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\config\axios.js                            | JavaScript     |       -137 |         -8 |        -29 |       -174 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\config\constant.js                         | JavaScript     |       -183 |         -9 |        -12 |       -204 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\config\toast.js                            | JavaScript     |        -35 |         -4 |         -3 |        -42 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\fontawesome.js                             | JavaScript     |         -4 |         -3 |         -3 |        -10 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\guard\RequireAdminAuth.js                  | JavaScript     |        -29 |         -7 |        -10 |        -46 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\guard\RequireAuth.js                       | JavaScript     |        -18 |         -1 |         -3 |        -22 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\index.css                                  | CSS            |       -682 |        -58 |       -134 |       -874 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\index.js                                   | JavaScript     |        -13 |         -3 |         -2 |        -18 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\layouts\AdminLayout.js                     | JavaScript     |        -19 |          0 |         -2 |        -21 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\layouts\MainLayout.js                      | JavaScript     |        -16 |          0 |         -2 |        -18 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\logo.svg                                   | XML            |         -1 |          0 |          0 |         -1 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\About.js                             | JavaScript     |       -133 |         -1 |        -11 |       -145 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Cart.js                              | JavaScript     |       -148 |         -6 |        -19 |       -173 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Checkout.js                          | JavaScript     |       -242 |         -7 |        -24 |       -273 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Detail.js                            | JavaScript     |       -358 |        -10 |        -42 |       -410 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Home.js                              | JavaScript     |       -177 |         -1 |        -18 |       -196 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\News.js                              | JavaScript     |       -184 |        -10 |        -27 |       -221 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Order.js                             | JavaScript     |       -415 |         -3 |        -23 |       -441 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Product.js                           | JavaScript     |       -230 |        -11 |        -31 |       -272 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\ProductDetail.js                     | JavaScript     |          0 |          0 |         -1 |         -1 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Setting.js                           | JavaScript     |       -226 |         -8 |        -24 |       -258 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\CategoryManager.js             | JavaScript     |       -597 |        -28 |        -46 |       -671 |
