"filename", "language", "JavaScript JSX", "JavaScript", "HTML", "JSON", "PostCSS", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ProductPrice.js", "JavaScript", 0, -17, 0, 0, 0, 0, 0, 0, -3, -20
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ProductQuantity.js", "JavaScript", 0, -34, 0, 0, 0, 0, 0, 0, -4, -38
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ProductReviews.js", "JavaScript", 0, -81, 0, 0, 0, 0, 0, 0, -7, -88
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\RelatedProducts.js", "JavaScript", 0, -37, 0, 0, 0, 0, 0, 0, -4, -41
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ServiceFeatures.js", "JavaScript", 0, -22, 0, 0, 0, 0, 0, 0, -3, -25
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\detail\ShareModal.js", "JavaScript", 0, -59, 0, 0, 0, 0, 0, 0, -6, -65
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\editor\CKEditorComponent.js", "JavaScript", 0, -83, 0, 0, 0, 0, 0, -1, -5, -89
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\filters\NewsFilters.js", "JavaScript", 0, -142, 0, 0, 0, 0, 0, -1, -8, -151
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\filters\ProductFilters.js", "JavaScript", 0, -260, 0, 0, 0, 0, 0, -2, -14, -276
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\section\SectionBar.js", "JavaScript", 0, -11, 0, 0, 0, 0, 0, 0, -3, -14
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\section\SectionHeader.js", "JavaScript", 0, -20, 0, 0, 0, 0, 0, 0, -5, -25
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\section\SectionSideBar.js", "JavaScript", 0, -65, 0, 0, 0, 0, 0, 0, -7, -72
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\setting\AccountInfo.js", "JavaScript", 0, -136, 0, 0, 0, 0, 0, -8, -20, -164
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\setting\HelpSupport.js", "JavaScript", 0, -313, 0, 0, 0, 0, 0, -4, -21, -338
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\setting\LanguageRegion.js", "JavaScript", 0, -291, 0, 0, 0, 0, 0, -13, -43, -347
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\components\setting\NotificationSettings.js", "JavaScript", 0, -395, 0, 0, 0, 0, 0, -12, -37, -444
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\config\axios.js", "JavaScript", 0, -137, 0, 0, 0, 0, 0, -8, -29, -174
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\config\constant.js", "JavaScript", 0, -183, 0, 0, 0, 0, 0, -9, -12, -204
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\config\toast.js", "JavaScript", 0, -35, 0, 0, 0, 0, 0, -4, -3, -42
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\fontawesome.js", "JavaScript", 0, -4, 0, 0, 0, 0, 0, -3, -3, -10
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\guard\RequireAdminAuth.js", "JavaScript", 0, -29, 0, 0, 0, 0, 0, -7, -10, -46
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\guard\RequireAuth.js", "JavaScript", 0, -18, 0, 0, 0, 0, 0, -1, -3, -22
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, -682, -58, -134, -874
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\index.js", "JavaScript", 0, -13, 0, 0, 0, 0, 0, -3, -2, -18
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\layouts\AdminLayout.js", "JavaScript", 0, -19, 0, 0, 0, 0, 0, 0, -2, -21
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\layouts\MainLayout.js", "JavaScript", 0, -16, 0, 0, 0, 0, 0, 0, -2, -18
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\logo.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\About.js", "JavaScript", 0, -133, 0, 0, 0, 0, 0, -1, -11, -145
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Cart.js", "JavaScript", 0, -148, 0, 0, 0, 0, 0, -6, -19, -173
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Checkout.js", "JavaScript", 0, -242, 0, 0, 0, 0, 0, -7, -24, -273
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Detail.js", "JavaScript", 0, -358, 0, 0, 0, 0, 0, -10, -42, -410
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Home.js", "JavaScript", 0, -177, 0, 0, 0, 0, 0, -1, -18, -196
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\News.js", "JavaScript", 0, -184, 0, 0, 0, 0, 0, -10, -27, -221
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Order.js", "JavaScript", 0, -415, 0, 0, 0, 0, 0, -3, -23, -441
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Product.js", "JavaScript", 0, -230, 0, 0, 0, 0, 0, -11, -31, -272
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\ProductDetail.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Setting.js", "JavaScript", 0, -226, 0, 0, 0, 0, 0, -8, -24, -258
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\CategoryManager.js", "JavaScript", 0, -597, 0, 0, 0, 0, 0, -28, -46, -671
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\Dashboard.js", "JavaScript", 0, -926, 0, 0, 0, 0, 0, -9, -34, -969
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\NewsManager.js", "JavaScript", 0, -655, 0, 0, 0, 0, 0, -32, -31, -718
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\OrderManager.js", "JavaScript", 0, -484, 0, 0, 0, 0, 0, -5, -21, -510
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\ProductManager.js", "JavaScript", 0, -796, 0, 0, 0, 0, 0, -29, -59, -884
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\UserManager.js", "JavaScript", 0, -481, 0, 0, 0, 0, 0, -8, -17, -506
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\auth\SignIn.js", "JavaScript", 0, -256, 0, 0, 0, 0, 0, -1, -36, -293
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\auth\SignUp.js", "JavaScript", 0, -245, 0, 0, 0, 0, 0, 0, -22, -267
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\reportWebVitals.js", "JavaScript", 0, -12, 0, 0, 0, 0, 0, 0, -2, -14
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\setupTests.js", "JavaScript", 0, -1, 0, 0, 0, 0, 0, -4, -1, -6
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\styles\ckeditor.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\AdminSideBar.js", "JavaScript", 0, -65, 0, 0, 0, 0, 0, 0, -8, -73
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\AppRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -25, -4, -29
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\AppToast.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -21, -2, -23
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\AuthForm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -359, -43, -402
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\AuthTabs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -22, -2, -24
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\CardNews.js", "JavaScript", 0, -25, 0, 0, 0, 0, 0, 0, -3, -28
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\DashboardCards.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -103, -4, -107
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\Payment.js", "JavaScript", 0, -25, 0, 0, 0, 0, 0, 0, -6, -31
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\ServiceCard.js", "JavaScript", 0, -10, 0, 0, 0, 0, 0, 0, -3, -13
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\SignInUp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -34, -7, -41
